Year,Subject,Number
"2023",Armed_forces_and_national_security,2
"2022",Armed_forces_and_national_security,2
"2021",Armed_forces_and_national_security,3
"2018",Armed_forces_and_national_security,2
"2019",Armed_forces_and_national_security,1
"2017",Armed_forces_and_national_security,1
"2022",Arts_culture_religion,1
"2022",Civil_rights_and_liberties_and_minority_issues,1
"2021",Civil_rights_and_liberties_and_minority_issues,1
"2023",Civil_rights_and_liberties_and_minority_issues,2
"2022",Commerce,1
"2017",Commerce,1
"2023",Commerce,2
"2020",Commerce,1
"2022",Crime_and_law_enforcement,1
"2019",Crime_and_law_enforcement,1
"2023",Crime_and_law_enforcement,1
"2021",Crime_and_law_enforcement,1
"2022",Economics_and_public_finance,7
"2021",Economics_and_public_finance,6
"2023",Economics_and_public_finance,5
"2020",Economics_and_public_finance,8
"2017",Economics_and_public_finance,1
"2018",Economics_and_public_finance,1
"2019",Economics_and_public_finance,3
"2020",Education,3
"2023",Education,2
"2021",Education,1
"2020",Energy,1
"2021",Environmental_protection,1
"2023",Finance_and_financial_sector,1
"2023",Foreign_trade_and_international_finance,1
"2021",Government_operations_and_politics,1
"2022",Government_operations_and_politics,2
"2020",Health,1
"2018",Health,1
"2019",Health,2
"2019",labor_and_employment,1
"2023",labor_and_employment,2
"2022",labor_and_employment,4
"2021",labor_and_employment,3
"2016",Science_and_technology_and_communications,1
"2021",Science_and_technology_and_communications,2
"2020",Science_and_technology_and_communications,4
"2019",Science_and_technology_and_communications,1
"2018",Science_and_technology_and_communications,2
"2022",Science_and_technology_and_communications,2
"2023",Science_and_technology_and_communications,2
"2021",Taxation,1
"2018",Transportation_and_public_works,1
