Subject,2016,2017,2018,2019,2020,2021,2022,2023
Armed_forces_and_national_security,0,1,2,1,0,3,2,2
Arts_culture_religion,0,0,0,0,0,0,1,0
Civil_rights_and_liberties_and_minority_issues,0,0,0,0,0,1,1,2
Commerce,0,1,0,0,1,0,1,2
Crime_and_law_enforcement,0,0,0,1,0,1,1,1
Economics_and_public_finance,0,1,1,3,8,6,7,5
Education,0,0,0,0,3,1,0,2
Energy,0,0,0,0,1,0,0,0
Environmental_protection,0,0,0,0,0,1,0,0
Finance_and_financial_sector,0,0,0,0,0,0,0,1
Foreign_trade_and_international_finance,0,0,0,0,0,0,0,1
Government_operations_and_politics,0,0,0,0,0,1,2,0
Health,0,0,1,2,1,0,0,0
Science_and_technology_and_communications,1,0,2,1,4,2,2,2
Taxation,0,0,0,0,0,1,0,0
Transportation_and_public_works,0,0,1,0,0,0,0,0
labor_and_employment,0,0,0,1,0,3,4,2
